x,y,ar,
-56.700001,-30,-10.2,-2.0574524197862
-56.700001,-30,-10.2,-2.0574524197862
-58.349998,-30.450001,-8.55,-2.05177148482127
-57.150002,-28.65,-9.45,-2.03549323933366
-56.400002,-30.6,-9.6,-2.06790423138132
-57.450001,-29.85,-10.05,-2.04998671840371
-57.150002,-30.75,-10.05,-2.06442459408428
-56.700001,-29.4,-9.9,-2.04914875096635
-58.200001,-30.299999,-9.9,-2.05080237411395
-58.200001,-30.299999,-9.9,-2.05080237411395
-58.200001,-30.299999,-9.9,-2.05080237411395
-58.200001,-30.299999,-9.9,-2.05080237411395
-58.200001,-30.299999,-9.9,-2.05080237411395
-56.400002,-30.299999,-10.8,-2.06378558875378
-56.700001,-29.700001,-10.5,-2.05330962840759
-56.099998,-30.9,-10.8,-2.07425518989521
-56.099998,-29.700001,-9.9,-2.0576955872712
-56.549999,-30.450001,-9.75,-2.06473771680485
-56.549999,-29.25,-9.15,-2.04814171638462
-55.950001,-30.450001,-9.75,-2.0692033820423
-55.950001,-30.450001,-9.75,-2.0692033820423
-55.950001,-30.450001,-9.75,-2.0692033820423
-55.950001,-30.450001,-9.75,-2.0692033820423
-55.950001,-30.450001,-9.75,-2.0692033820423
-57.299999,-29.700001,-10.5,-2.04899594397026
-58.200001,-30.6,-10.2,-2.05484925940481
-56.549999,-29.25,-9.75,-2.04814171638462
-56.549999,-30.450001,-10.65,-2.06473771680485
-56.849998,-30.450001,-9.75,-2.06253230857172
-55.349998,-29.85,-9.15,-2.06538391427482
-56.25,-30.15,-10.05,-2.06282747836264
-56.25,-30.15,-10.05,-2.06282747836264
-56.25,-30.15,-10.05,-2.06282747836264
-56.25,-30.15,-10.05,-2.06282747836264
-56.25,-30.15,-10.05,-2.06282747836264
-56.25,-30.15,-10.05,-2.06282747836264
-57,-30.299999,-9.3,-2.05938677308075
-57.450001,-30.15,-9.75,-2.05408979783984
-56.400002,-29.700001,-10.2,-2.05549345719439
-57,-30.299999,-9.6,-2.05938677308075
-57.599998,-29.700001,-9.9,-2.0468656849758
-56.700001,-30,-8.1,-2.0574524197862
-56.700001,-30,-8.1,-2.0574524197862
-56.700001,-30,-8.1,-2.0574524197862
-56.700001,-30,-8.1,-2.0574524197862
-56.700001,-30,-8.1,-2.0574524197862
-56.700001,-30,-8.1,-2.0574524197862
-57.150002,-30.450001,-10.95,-2.06034487713964
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-29.85,-8.85,-2.05867523010269
-56.849998,-30.75,-9.15,-2.06662390750778
-56.700001,-30.299999,-9.9,-2.06157712893005
-57.150002,-30.15,-9.75,-2.05624731925279
-57.150002,-30.15,-9.75,-2.05624731925279
-57.150002,-30.15,-9.75,-2.05624731925279
-57.150002,-30.15,-9.75,-2.05624731925279
-57.150002,-30.15,-9.75,-2.05624731925279
-57.150002,-30.15,-9.75,-2.05624731925279
-56.700001,-31.5,-9.6,-2.07789482369996
-57,-29.700001,-8.7,-2.05114385833596
-57.75,-29.549999,-9.75,-2.04375078882058
-56.849998,-31.049999,-10.95,-2.07069747583832
-56.549999,-29.25,-9.45,-2.04814171638462
-57.450001,-30.450001,-11.25,-2.05817529630625
-57.75,-28.65,-9.45,-2.03132219775747
-57.75,-28.65,-9.45,-2.03132219775747
-57.75,-28.65,-9.45,-2.03132219775747
-57.75,-28.65,-9.45,-2.03132219775747
-57.75,-28.65,-9.45,-2.03132219775747
-56.700001,-29.700001,-9.3,-2.05330962840759
-56.849998,-31.65,-10.95,-2.07879050196746
-56.099998,-29.700001,-9.45,-2.0576955872712
-55.799999,-30,-8.7,-2.06409626645849
-56.700001,-30,-10.2,-2.0574524197862
-56.849998,-30.75,-9.45,-2.06662390750778
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-30.450001,-10.05,-2.0669613398517
-56.25,-30.450001,-10.05,-2.0669613398517
-56.400002,-30,-9.3,-2.05964866642022
-56.25,-30.15,-9.75,-2.06282747836264
-56.849998,-30.450001,-8.85,-2.06253230857172
-57.299999,-29.4,-10.2,-2.04486023281502
-55.950001,-30.75,-10.65,-2.07333072936488
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-31.5,-9.3,-2.07343854006783
-57.299999,-29.700001,-9.3,-2.04899594397026
-57.150002,-29.85,-10.05,-2.05213198287826
-56.700001,-30.299999,-11.1,-2.06157712893005
-56.700001,-30.6,-9.3,-2.0656837618547
-56.400002,-29.4,-10.2,-2.05131995610731
-56.700001,-30.6,-10.2,-2.0656837618547
-56.849998,-29.85,-10.35,-2.05429505182384
-56.849998,-29.85,-10.35,-2.05429505182384
-56.849998,-29.85,-10.35,-2.05429505182384
-56.849998,-29.85,-10.35,-2.05429505182384
-56.849998,-29.85,-10.35,-2.05429505182384
-57.150002,-29.85,-9.45,-2.05213198287826
-57.450001,-29.25,-8.25,-2.04172787902043
-57,-30.9,-11.4,-2.06755812070213
-56.849998,-29.85,-10.05,-2.05429505182384
-56.549999,-30.450001,-8.85,-2.06473771680485
-56.849998,-30.450001,-9.45,-2.06253230857172
-58.349998,-30.75,-9.45,-2.05580387483414
-58.349998,-30.75,-9.45,-2.05580387483414
-58.349998,-30.75,-9.45,-2.05580387483414
-58.349998,-30.75,-9.45,-2.05580387483414
-58.349998,-30.75,-9.45,-2.05580387483414
-58.349998,-30.75,-9.45,-2.05580387483414
-55.950001,-30.450001,-9.15,-2.0692033820423
-56.400002,-30.299999,-9.9,-2.06378558875378
-57.450001,-30.15,-9.75,-2.05408979783984
-56.849998,-29.85,-7.95,-2.05429505182384
-56.400002,-30.299999,-10.2,-2.06378558875378
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-29.85,-9.75,-2.05213198287826
-57.150002,-30.450001,-9.75,-2.06034487713964
-55.950001,-29.85,-9.45,-2.06089278573908
-57.150002,-29.85,-10.35,-2.05213198287826
-57.299999,-30.299999,-9.6,-2.05721432026305
-56.099998,-30.6,-10.8,-2.07014306346191
-56.099998,-30.6,-10.8,-2.07014306346191
-56.099998,-30.6,-10.8,-2.07014306346191
-56.099998,-30.6,-10.8,-2.07014306346191
-56.099998,-30.6,-10.8,-2.07014306346191
-56.099998,-30.6,-10.8,-2.07014306346191
-57.299999,-30,-10.2,-2.05311397256395
-56.700001,-30,-10.2,-2.0574524197862
-55.349998,-29.549999,-11.25,-2.06117553556804
-57.299999,-30,-10.8,-2.05311397256395
-56.549999,-30.450001,-10.05,-2.06473771680485
-56.099998,-30.299999,-10.5,-2.06601239339041
-57.450001,-30.75,-9.45,-2.06224315045998
-57,-30.9,-9.6,-2.06755812070213
-57,-30.9,-9.6,-2.06755812070213
-57,-30.9,-9.6,-2.06755812070213
-57,-30.9,-9.6,-2.06755812070213
-57,-30.9,-9.6,-2.06755812070213
-57,-30.9,-9.6,-2.06755812070213
-57.299999,-30.9,-10.5,-2.06536192264975
-57.450001,-30.15,-9.15,-2.05408979783984
-56.700001,-30.6,-9.6,-2.0656837618547
-55.950001,-29.85,-9.15,-2.06089278573908
-56.099998,-31.200001,-8.7,-2.07834878637757
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.599998,-31.5,-10.8,-2.07123715455933
-57.150002,-29.85,-10.65,-2.05213198287826
-56.700001,-30.6,-9.9,-2.0656837618547
-57.900002,-29.4,-10.5,-2.0406421895815
-56.549999,-29.25,-9.15,-2.04814171638462
-57.299999,-30.299999,-9.3,-2.05721432026305
-57,-29.1,-9.3,-2.04282948347498
-57,-31.200001,-9.6,-2.07161690025868
-56.400002,-30.9,-10.5,-2.07200453547738
-56.400002,-30.9,-10.5,-2.07200453547738
