x,y,ar
0.75,-34.049999,-2.85
0.299999,-33.299999,-2.7
0.299999,-33.299999,-2.7
1.200001,-33,-3
1.5,-33,-3.6
0.299999,-33,-3.9
0.599998,-33.299999,-2.7
0.599998,-33.299999,-2.7
0.75,-32.849998,-1.95
0.75,-32.849998,-3.15
0.450001,-32.849998,-3.75
0.450001,-32.849998,-3.75
0.450001,-32.849998,-3.75
-0.75,-33.75,-4.05
0.299999,-32.700001,-3.9
0.299999,-32.700001,-3.9
0.299999,-32.700001,-3.9
1.950001,-33.150002,-4.05
0.450001,-32.849998,-2.55
0.299999,-33,-1.5
0.299999,-33,-1.5
0.299999,-33,-1.5
0.75,-32.849998,-3.45
1.5,-33.299999,-3.9
1.5,-33.299999,-3.9
1.5,-33.299999,-3.9
1.5,-33.299999,-3.9
0.599998,-33.299999,-3.6
0.150002,-32.549999,-4.05
0.150002,-32.549999,-4.05
0.450001,-31.65,-3.15
0.450001,-32.849998,-4.95
1.049999,-32.549999,-2.85
0.75,-32.849998,-4.05
0.75,-32.849998,-4.05
0.75,-33.450001,-2.85
1.799999,-32.700001,-3.3
-0.599998,-32.700001,-3.3
-0.599998,-32.700001,-3.3
-0.599998,-32.700001,-3.3
1.349998,-32.849998,-4.35
0.900002,-33.599998,-3
0.900002,-33.599998,-3
0.900002,-33.599998,-3
0.299999,-33,-2.4
-0.150002,-33.150002,-3.15
0.75,-33.150002,-2.55
0.75,-33.150002,-2.55
0.75,-33.75,-3.45
-0.599998,-32.700001,-4.5
0.150002,-33.75,-4.35
0.599998,-32.400002,-4.5
0.599998,-32.400002,-4.5
1.5,-33.299999,-2.7
0.599998,-33.599998,-3.3
0.450001,-32.25,-4.35
0.450001,-32.25,-4.35
1.049999,-33.150002,-4.35
0.150002,-33.150002,-4.05
0.599998,-32.700001,-2.7
0.599998,-32.700001,-2.7
0.599998,-32.700001,-2.7
0,-33.599998,-4.2
-0.450001,-33.75,-4.05
0.450001,-33.450001,-3.75
0.450001,-33.450001,-3.75
0.599998,-32.700001,-3
-0.599998,-32.700001,-3
0.599998,-32.700001,-2.4
0.599998,-32.700001,-2.4
0.599998,-32.700001,-2.4
1.349998,-34.049999,-3.45
0.75,-32.549999,-3.75
0.75,-32.549999,-3.75
0.75,-32.549999,-3.75
-0.150002,-33.150002,-3.45
0.299999,-33.900002,-3.3
1.799999,-33,-4.2
1.799999,-33,-4.2
1.799999,-33,-4.2
0.75,-34.349998,-3.45
0.299999,-33.299999,-4.5
0.299999,-33.299999,-4.5
0.299999,-33.299999,-4.5
-1.349998,-34.049999,-3.45
0.75,-33.450001,-4.35
0.599998,-33.599998,-3.9
0.599998,-33.599998,-3.9
-0.150002,-33.150002,-4.35
0.900002,-33,-3.9
0.299999,-34.200001,-3.6
0.299999,-34.200001,-3.6
0.299999,-34.200001,-3.6
0.599998,-33,-3.3
0.450001,-33.150002,-2.55
-0.299999,-33,-2.7
-0.299999,-33,-2.7
-0.299999,-33,-2.7
0.299999,-32.099998,-3.3
0.900002,-32.400002,-3.9
0.900002,-32.400002,-3.9
0.900002,-32.400002,-3.9
-0.299999,-33.299999,-3.3
0.150002,-33.150002,-3.15
0.900002,-33.599998,-3.3
0.900002,-33.599998,-3.3
1.5,-33.599998,-3.3
-0.450001,-33.150002,-3.45
-0.599998,-33.599998,-4.8
-0.599998,-33.599998,-4.8
-0.599998,-33.599998,-4.8
0.299999,-33,-4.2
0.450001,-32.849998,-3.45
0.450001,-32.849998,-3.45
0.450001,-32.849998,-3.45
0,-33.599998,-3
1.349998,-33.450001,-3.15
0.150002,-31.950001,-3.75
0.150002,-31.950001,-3.75
2.25,-33.150002,-4.05
1.349998,-34.349998,-3.45
-0.450001,-32.549999,-2.85
-0.450001,-32.549999,-2.85
-0.450001,-32.549999,-2.85
0.450001,-33.150002,-4.35
0.75,-32.849998,-3.45
0.450001,-32.849998,-3.15
0.450001,-32.849998,-3.15
0.450001,-32.849998,-3.15
0.900002,-33,-3.3
0.450001,-33.450001,-3.75
0.450001,-33.450001,-3.75
0.450001,-33.450001,-3.75
0.75,-32.25,-4.65
1.349998,-34.650002,-3.75
1.650002,-32.25,-3.75
1.650002,-32.25,-3.75
1.650002,-32.25,-3.75
0.75,-33.150002,-4.35
1.799999,-33.599998,-3.3
1.799999,-33.599998,-3.3
1.799999,-33.599998,-3.3
0.450001,-33.75,-3.45
0.299999,-32.400002,-2.4
0.150002,-33.75,-3.75
0.150002,-33.75,-3.75
1.349998,-32.25,-4.35
0.150002,-31.950001,-3.15
0.599998,-33.599998,-2.7
1.650002,-31.35,-3.75
1.650002,-31.35,-3.75
