x,y,z
-6.000000,-18.900000,39.900002
-6.000000,-18.900000,39.900002
-6.000000,-18.900000,39.900002
-6.000000,-19.200001,39.599998
-7.050000,-19.049999,39.750000
-7.050000,-19.049999,39.750000
-5.100000,-20.100000,40.200001
-5.100000,-20.100000,40.200001
-5.100000,-20.100000,40.200001
-5.100000,-20.100000,40.200001
-5.400000,-18.600000,39.900002
-5.400000,-18.600000,39.900002
-6.150000,-18.750000,39.450001
-6.150000,-18.750000,39.450001
-6.150000,-18.750000,39.450001
-6.150000,-18.750000,39.450001
-5.250000,-19.049999,40.650002
-4.950000,-18.450001,39.750000
-4.950000,-18.450001,39.750000
-4.950000,-18.450001,39.750000
-4.950000,-18.450001,39.750000
-4.950000,-18.450001,39.750000
-6.450000,-19.049999,39.150002
-5.700000,-19.200001,39.900002
-4.950000,-18.150000,40.349998
-4.950000,-18.150000,40.349998
-4.950000,-18.150000,40.349998
-4.950000,-19.650000,39.750000
-4.950000,-19.650000,39.750000
-5.250000,-18.450001,39.450001
-4.200000,-17.100000,40.500000
-4.200000,-17.100000,40.500000
-4.200000,-17.100000,40.500000
-4.200000,-17.100000,40.500000
-6.000000,-18.000000,38.700001
-6.000000,-18.000000,38.700001
-6.300000,-20.100000,41.099998
-6.300000,-20.100000,41.099998
-6.300000,-20.100000,41.099998
-6.300000,-20.100000,41.099998
-6.600000,-18.600000,39.000000
-6.600000,-18.600000,39.000000
-6.450000,-18.450001,39.450001
-6.450000,-18.450001,39.450001
-6.450000,-18.450001,39.450001
-6.450000,-18.450001,39.450001
-5.400000,-19.200001,39.000000
-5.550000,-18.750000,40.049999
-5.550000,-18.750000,40.049999
-5.700000,-18.000000,39.900002
-5.700000,-18.000000,39.900002
-5.700000,-18.000000,39.900002
-4.950000,-18.450001,40.349998
-5.850000,-18.750000,38.849998
-5.850000,-18.750000,38.849998
-7.200000,-19.200001,39.599998
-7.200000,-19.200001,39.599998
-7.200000,-19.200001,39.599998
-7.200000,-19.200001,39.599998
-6.150000,-19.950001,39.150002
-5.250000,-18.450001,38.549999
-5.250000,-18.450001,38.549999
-5.250000,-18.450001,38.549999
-5.250000,-18.450001,38.549999
-5.250000,-18.450001,38.549999
-6.000000,-18.900000,40.200001
-5.550000,-18.150000,39.150002
-6.150000,-18.750000,40.049999
-6.150000,-18.750000,40.049999
