x,y,z
85.050003,-46.049999,-43.650002
85.050003,-46.049999,-43.650002
83.699997,-45.900002,-45.000000
84.150002,-45.900002,-45.000000
85.199997,-47.099998,-45.299999
85.199997,-47.099998,-45.299999
85.650002,-45.450001,-44.849998
83.699997,-45.000000,-45.299999
83.699997,-45.000000,-45.299999
83.400002,-45.900002,-45.599998
85.500000,-47.099998,-44.700001
83.699997,-46.799999,-46.200001
83.699997,-46.799999,-46.200001
85.050003,-45.750000,-44.849998
84.300003,-45.900002,-45.299999
84.300003,-45.900002,-45.299999
84.750000,-45.150002,-45.450001
83.400002,-47.099998,-45.000000
83.550003,-45.150002,-45.150002
83.550003,-45.150002,-45.150002
83.849998,-46.049999,-45.150002
85.050003,-46.349998,-44.549999
85.050003,-46.349998,-44.549999
84.900002,-45.299999,-44.099998
85.199997,-46.500000,-45.000000
84.449997,-45.150002,-45.150002
84.750000,-43.950001,-43.950001
84.750000,-43.950001,-43.950001
84.750000,-45.750000,-45.450001
84.750000,-45.750000,-45.450001
84.750000,-46.349998,-45.150002
83.699997,-45.599998,-43.200001
84.300003,-46.799999,-45.000000
85.199997,-45.000000,-45.299999
85.199997,-45.000000,-45.299999
85.349998,-45.450001,-45.450001
83.099998,-45.599998,-44.099998
83.099998,-45.599998,-44.099998
84.150002,-44.849998,-44.250000
84.750000,-46.349998,-44.250000
84.150002,-47.250000,-44.849998
84.150002,-47.250000,-44.849998
84.449997,-46.349998,-45.150002
84.900002,-47.700001,-44.700001
84.900002,-47.700001,-44.700001
84.150002,-45.450001,-45.150002
82.949997,-45.150002,-44.250000
84.150002,-46.650002,-44.849998
84.150002,-46.650002,-44.849998
84.449997,-46.650002,-45.450001
85.650002,-45.150002,-44.250000
85.650002,-45.150002,-44.250000
84.150002,-46.049999,-44.250000
84.150002,-46.049999,-45.150002
83.550003,-46.049999,-43.950001
83.550003,-46.049999,-43.950001
84.449997,-45.750000,-45.450001
86.099998,-46.200001,-45.000000
86.099998,-46.200001,-45.000000
84.150002,-46.650002,-45.450001
84.150002,-46.650002,-45.450001
84.000000,-46.200001,-45.299999
85.800003,-45.900002,-43.500000
85.800003,-45.900002,-43.500000
85.050003,-46.349998,-45.150002
85.500000,-46.200001,-45.150002
85.650002,-46.049999,-43.650002
85.650002,-46.049999,-43.650002
85.199997,-44.099998,-45.299999
85.050003,-46.349998,-44.849998
85.050003,-46.349998,-44.849998
84.599998,-47.099998,-44.099998
85.949997,-44.849998,-44.849998
85.199997,-47.099998,-44.099998
85.199997,-47.099998,-44.099998
84.599998,-45.599998,-45.599998
84.750000,-46.650002,-45.450001
84.750000,-46.650002,-45.450001
84.449997,-46.049999,-44.250000
85.349998,-45.750000,-43.950001
84.000000,-46.500000,-45.000000
84.000000,-46.500000,-45.000000
84.900002,-46.500000,-45.299999
84.750000,-45.750000,-44.849998
84.750000,-45.750000,-44.849998
84.449997,-45.450001,-44.849998
85.199997,-46.500000,-45.000000
84.300003,-47.099998,-44.400002
82.650002,-46.950001,-45.450001
82.650002,-46.950001,-45.450001
84.000000,-45.900002,-43.799999
84.000000,-45.900002,-43.799999
85.199997,-45.599998,-45.000000
84.750000,-46.049999,-45.450001
84.750000,-46.049999,-45.450001
83.099998,-46.200001,-45.000000
83.099998,-46.200001,-45.000000
84.000000,-46.200001,-44.400002
84.300003,-45.299999,-44.700001
84.300003,-45.299999,-44.700001
84.599998,-46.500000,-44.400002
84.599998,-45.000000,-43.799999
84.449997,-46.349998,-45.750000
84.449997,-46.349998,-45.750000
84.599998,-45.299999,-44.099998
