x,y,z
-12.823274,-2.570300,45.440815
-12.823274,-2.570300,45.440815
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.968578,-4.575649,45.367558
-11.683084,-2.691252,45.418541
-11.676286,-3.222600,45.565189
-11.676286,-3.222600,45.565189
-12.676929,-3.677434,44.487568
-11.824953,-3.099096,45.325127
-12.847178,-3.113668,45.272541
-12.862529,-3.119678,45.115074
-12.512913,-3.794927,44.885094
-12.218100,-3.241906,45.223972
-12.218100,-3.241906,45.223972
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-11.925814,-1.888857,45.421612
-12.711343,-4.043209,45.496384
-12.672087,-3.493831,45.822121
-12.672087,-3.493831,45.822121
-11.993248,-3.250283,44.922199
-11.348820,-3.372510,45.031097
-11.348820,-3.372510,45.031097
-12.115487,-3.383439,44.991653
-11.344543,-3.103830,45.036503
-11.344543,-3.103830,45.036503
-11.929323,-4.026270,45.693287
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-12.111211,-3.114759,44.997059
-10.656584,-2.408000,45.476536
-10.656584,-2.408000,45.476536
-13.015471,-3.264854,44.869610
-11.652382,-2.679232,45.733463
-12.375319,-3.655761,44.973103
-12.375319,-3.655761,44.973103
-11.584748,-3.101463,45.180809
-11.709510,-2.434592,45.109024
-11.709510,-2.434592,45.109024
-11.798528,-3.355756,45.634644
-11.362415,-2.309813,44.737793
-11.362415,-2.309813,44.737793
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-11.516546,-3.608772,45.957310
-12.176323,-3.492555,45.690952
-12.361725,-4.718458,45.266403
-12.361725,-4.718458,45.266403
-11.733414,-2.977960,44.940750
-11.180525,-3.221324,45.434025
-11.047210,-3.350837,45.516628
-11.047210,-3.350837,45.516628
-12.130270,-3.474525,46.163338
-12.080509,-3.102739,45.311981
-12.080509,-3.102739,45.311981
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.582228,-3.901492,45.322060
-11.274587,-2.542433,45.677155
-11.274587,-2.542433,45.677155
-12.102658,-2.577401,45.007870
-11.448910,-4.031004,45.404663
-11.448910,-4.031004,45.404663
-11.837784,-3.905134,45.308910
-11.440357,-3.493646,45.415474
-11.440357,-3.493646,45.415474
-11.718062,-2.971950,45.098217
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.730891,-3.777988,45.082001
-11.313841,-3.091810,45.351421
-11.062561,-3.356847,45.359165
-11.062561,-3.356847,45.359165
-11.687361,-2.959930,45.413136
-12.333545,-3.906410,45.440083
-11.951471,-3.500932,45.389179
-11.951471,-3.500932,45.389179
-11.855655,-3.111116,45.010208
-11.311319,-3.891839,45.492672
-11.311319,-3.891839,45.492672
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.783942,-1.481011,45.515022
-11.436081,-3.224967,45.420879
-11.436081,-3.224967,45.420879
-11.156622,-2.677956,45.602291
-12.194197,-2.698537,45.392246
-12.194197,-2.698537,45.392246
-12.331789,-2.837703,45.304237
-12.058360,-3.628078,45.616093
-12.058360,-3.628078,45.616093
-11.335990,-2.566472,45.047310
-11.718062,-2.971950,45.098217
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-12.294289,-3.357032,45.765812
-11.879559,-3.654485,44.841930
-11.879559,-3.654485,44.841930
-11.803572,-1.755700,45.352154
-11.398581,-3.744295,45.882454
-12.853976,-2.582320,45.125885
-12.853976,-2.582320,45.125885
-11.955748,-3.769611,45.383774
-12.436157,-3.764877,45.672401
-12.436157,-3.764877,45.672401
-12.301087,-2.825684,45.619160
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-11.942919,-2.963573,45.399990
-12.336065,-3.106382,45.298832
-13.377917,-3.395644,45.083374
-13.377917,-3.395644,45.083374
-12.207026,-3.504575,45.376030
-11.947195,-3.232253,45.394585
-11.947195,-3.232253,45.394585
-11.866730,-2.848447,44.858147
-11.337746,-3.635179,45.183147
-12.104413,-3.646108,45.143707
-12.080509,-3.102739,45.311981
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.344618,-3.643741,45.288025
-12.167770,-2.955196,45.701763
-12.698512,-3.237172,45.512600
-12.698512,-3.237172,45.512600
-12.320714,-3.100373,45.456299
-11.770348,-2.543708,45.808323
-11.770348,-2.543708,45.808323
-11.383997,-1.869551,45.762825
-12.702788,-3.505851,45.507195
-12.702788,-3.505851,45.507195
-12.871081,-3.657037,45.104263
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-12.108691,-3.914787,45.138302
-11.027582,-3.076148,45.679489
-11.027582,-3.076148,45.679489
-11.541217,-2.283406,45.511955
-11.781423,-2.281039,45.656265
-11.781423,-2.281039,45.656265
-12.063404,-2.028023,45.333603
-11.934366,-2.426215,45.410801
-12.425851,-2.158812,45.547367
-12.425851,-2.158812,45.547367
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-10.531821,-3.074872,45.548328
-12.226652,-3.779264,45.213161
-12.226652,-3.779264,45.213161
-11.687361,-2.959930,45.413136
-11.464262,-4.037014,45.247196
-11.464262,-4.037014,45.247196
-10.106016,-3.634994,44.776501
-9.319719,-3.349376,44.978809
-9.319719,-3.349376,44.978809
-9.319719,-3.349376,44.978809
-9.319719,-3.349376,44.978809
-10.506727,-1.377720,44.251614
-10.506727,-1.377720,44.251614
-10.506727,-1.377720,44.251614
-7.795701,-1.996142,44.769794
-7.795701,-1.996142,44.769794
-8.372494,-2.296147,44.108250
-8.372494,-2.296147,44.108250
-8.372494,-2.296147,44.108250
-6.042352,-2.166264,43.212349
-6.042352,-2.166264,43.212349
-6.866148,-1.932553,42.548470
-6.866148,-1.932553,42.548470
-5.639462,-0.332313,41.859325
-5.639462,-0.332313,41.859325
-5.639462,-0.332313,41.859325
-5.639462,-0.332313,41.859325
-6.363932,2.428627,40.544792
-6.363932,2.428627,40.544792
-6.363932,2.428627,40.544792
-6.363932,2.428627,40.544792
-8.356666,2.056318,38.400360
-8.356666,2.056318,38.400360
-8.356666,2.056318,38.400360
-8.356666,2.056318,38.400360
-8.356666,2.056318,38.400360
-9.092999,0.358827,36.294632
-9.092999,0.358827,36.294632
-9.092999,0.358827,36.294632
-9.092999,0.358827,36.294632
-10.257658,0.021487,34.819485
-10.257658,0.021487,34.819485
-10.257658,0.021487,34.819485
-11.491709,-0.962329,34.032829
-11.556824,-1.340124,34.726723
-11.556824,-1.340124,34.726723
-10.320817,-1.071260,34.325478
-10.320817,-1.071260,34.325478
-10.320817,-1.071260,34.325478
-9.617308,-2.153078,33.870914
-11.074458,-2.059810,33.250198
-11.074458,-2.059810,33.250198
-11.074458,-2.059810,33.250198
-11.923913,-3.438174,32.553879
-12.271574,-3.477877,31.595964
-12.271574,-3.477877,31.595964
-12.271574,-3.477877,31.595964
-12.271574,-3.477877,31.595964
-12.271574,-3.477877,31.595964
-13.543124,-3.942364,30.347734
-13.543124,-3.942364,30.347734
-13.709662,-3.024843,29.808964
-13.709662,-3.024843,29.808964
-13.709662,-3.024843,29.808964
-13.709662,-3.024843,29.808964
-13.709662,-3.024843,29.808964
-12.563442,-1.808408,29.656258
-13.019949,-1.260305,30.113159
-13.019949,-1.260305,30.113159
-13.019949,-1.260305,30.113159
-13.019949,-1.260305,30.113159
-11.783943,-0.991441,29.711916
-11.783943,-0.991441,29.711916
-11.783943,-0.991441,29.711916
-11.783943,-0.991441,29.711916
-11.783943,-0.991441,29.711916
-9.162702,-0.662293,30.478636
-10.879683,-0.841346,29.839363
-10.879683,-0.841346,29.839363
-10.879683,-0.841346,29.839363
-10.879683,-0.841346,29.839363
-10.001847,-0.434592,29.657291
-10.001847,-0.434592,29.657291
-10.001847,-0.434592,29.657291
